country,sex,age,AgeInt,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex
Bulgaria,Male,70,5,0.049492668,2.546153293,0.220664239,59935.67682,13225.66051,267224.6406,0.743183496,668089.9985,11.14678325
Bulgaria,Male,75,5,0.072250634,2.564029839,0.307187967,46710.01631,14348.75497,198596.9426,0.504579434,400865.3579,8.581999957
Bulgaria,Male,80,5,0.159991669,6.250325451,1,32361.26134,32361.26134,202268.4154,0,202268.4154,6.250325451
China,Female,0,1,0.008363904,0.14,0.008304173,100000,830.4172653,99285.84115,0.991166674,7977202.542,79.77202542
China,Female,1,4,0.000433717,1.784307167,0.001733202,99169.58273,171.8809035,396297.4957,0.997981884,7877916.7,79.43884085
China,Female,5,5,0.000343772,2.616118902,0.001717453,98997.70183,170.0239053,494583.1924,0.998196311,7481619.205,75.57366551
China,Female,10,5,0.000360399,2.486190883,0.001800365,98827.67793,177.9259019,493691.1179,0.998209341,6987036.012,70.69918224
China,Female,15,5,0.00036803,2.56475784,0.001838503,98649.75202,181.3679,492807.0854,0.997851737,6493344.894,65.82221203
China,Female,20,5,0.000510098,2.63389013,0.002547415,98468.38412,250.8398623,491748.4059,0.997218787,6000537.809,60.93872528
China,Female,25,5,0.000576254,2.49818461,0.002877122,98217.54426,282.5838448,490380.7487,0.997064228,5508789.403,56.08763123
China,Female,30,5,0.000613194,2.55283241,0.003061377,97934.96042,299.8158342,488941.1025,0.996566116,5018408.654,51.24225949
China,Female,35,5,0.000803029,2.665165632,0.004007633,97635.14458,391.2857819,487262.1354,0.994923176,4529467.552,46.3917739
China,Female,40,5,0.001254978,2.648083737,0.006256422,97243.8588,608.3986551,484788.3913,0.992475455,4042205.417,41.5677192
China,Female,45,5,0.00181626,2.669325889,0.009043021,96635.46015,873.8765066,481140.5794,0.988426995,3557417.025,36.81274989
China,Female,50,5,0.00289454,2.64952229,0.0143749,95761.58364,1376.563236,475572.337,0.983086944,3076276.446,32.1243272
China,Female,55,5,0.004017212,2.659336992,0.019898952,94385.0204,1878.162957,467528.9555,0.973505272,2600704.109,27.55420402
China,Female,60,5,0.007130495,2.722187236,0.035082666,92506.85745,3245.387218,455141.9028,0.952387832,2133175.153,23.05964349
China,Female,65,5,0.012858422,2.697113129,0.062443078,89261.47023,5573.760987,433471.6101,0.917369983,1678033.251,18.79907698
China,Female,70,5,0.02258576,2.685783842,0.107319393,83687.70924,8981.31418,397653.8438,0.858732999,1244561.64,14.87149848
China,Female,75,5,0.040081819,2.658119849,0.183211604,74706.39506,13687.07849,341478.4779,0.596793796,846907.7966,11.33648325
China,Female,80,5,0.120727695,8.283103568,1,61019.31657,61019.31657,505429.3188,0,505429.3188,8.283103568
China,Male,0,1,0.009491789,0.14,0.009414935,100000,941.4935358,99190.31556,0.989954527,7437857.157,74.37857157
China,Male,1,4,0.000494263,1.71459133,0.001974821,99058.50646,195.6228309,395786.9477,0.99775435,7338666.841,74.08416605
China,Male,5,5,0.000398817,2.721890511,0.001992273,98862.88363,196.9618278,493865.7176,0.997576872,6942879.894,70.22736581
China,Male,10,5,0.00055114,2.567149111,0.002752012,98665.92181,271.5297605,492669.0176,0.997113374,6449014.176,65.3621236
China,Male,15,5,0.000600237,2.540927206,0.002996764,98394.39204,294.8647361,491246.8664,0.996531997,5956345.158,60.53541299
China,Male,20,5,0.000831009,2.653929916,0.004146958,98099.52731,406.8146367,489543.2209,0.995403365,5465098.292,55.70973115
China,Male,25,5,0.000966436,2.514333097,0.004820601,97692.71267,470.937579,487292.9694,0.995004838,4975555.071,50.93066755
China,Male,30,5,0.001050868,2.546696623,0.005240827,97221.77509,509.5225462,484858.8621,0.994148364,4488262.102,46.16519393
China,Male,35,5,0.001376603,2.679733946,0.0068611,96712.25255,663.5524143,482021.6446,0.990926805,4003403.24,41.3949953
China,Male,40,5,0.002351626,2.689443854,0.011694588,96048.70013,1123.250009,477648.1685,0.985376545,3521381.595,36.66245967
China,Male,45,5,0.003620113,2.673540485,0.017949396,94925.45012,1703.854487,470663.3021,0.976886578,3043733.427,32.06446135
China,Male,50,5,0.005870195,2.657185843,0.028952793,93221.59564,2699.025586,459784.6628,0.965229547,2573070.125,27.60165289
China,Male,55,5,0.008506451,2.664960723,0.041703893,90522.57005,3775.143559,443797.7418,0.944493773,2113285.462,23.3453984
China,Male,60,5,0.015037363,2.68798328,0.072660649,86747.42649,6303.124273,419164.2038,0.908552226,1669487.72,19.24538615
China,Male,65,5,0.023544504,2.614575644,0.111462387,80444.30222,8966.513958,380832.5703,0.859785274,1250323.516,15.54272312
China,Male,70,5,0.038688021,2.635363191,0.177226843,71477.78826,12667.78274,327434.236,0.77903332,869490.9459,12.16449147
China,Male,75,5,0.062793846,2.567184269,0.272361666,58810.00552,16017.59107,255082.1801,0.529417909,542056.7099,9.217083133
China,Male,80,5,0.149115723,6.706200937,1,42792.41445,42792.41445,286974.5299,0,286974.5299,6.706200937
Croatia,Female,0,1,0.003457397,0.14,0.003447147,100000,344.7147159,99703.54534,0.996090894,8054425.396,80.54425396
Croatia,Female,1,4,0.000276845,1.467881464,0.001106605,99655.28528,110.2790027,398341.9016,0.9991538,7954721.85,79.82237799
Croatia,Female,5,5,7.46E-05,2.278786323,0.000372967,99545.00628,37.12700091,497624.0009,0.999682946,7556379.949,75.90918149
Croatia,Female,10,5,6.30E-05,2.666060602,0.00031505,99507.87928,31.35000039,497466.2274,0.999602494,7058755.948,70.93665345
Croatia,Female,15,5,0.00010318,2.774908399,0.00051578,99476.52928,51.30800079,497268.4814,0.999354142,6561289.72,65.95816891
